ID;Ciudad;Estrato;Edad;Sexo;Estado Civil;Educación;Religión;Hijos;N° Hijos;Ingresos;Ocupación;¿Cuántas personas viven en su casa, incluido usted?;Nescafe
1112;Ciudad 2;2;35 - 44;Masculino;Casado(a);Bachillerato;1.   Católico;Con Hijos;3;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);4;0
1115;Ciudad 2;2;35 - 44;Masculino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;2;Menos de  $ 500.000;2.   Trabaja independientemente (informal);5;0
1116;Ciudad 2;2;35 - 44;Masculino;Casado(a);Técnico / Tecnológico;1.   Católico;Con Hijos;2;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);4;0
1140;Ciudad 2;3;13 - 16;Masculino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;3;1
1141;Ciudad 2;3;13 - 16;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;5;1
1146;Ciudad 2;3;13 - 16;Femenino;Soltero(a);Bachillerato;7.   Ninguna;Sin Hijos;0;Menos de  $ 500.000;6.   Estudia y trabaja;4;1
1165;Ciudad 2;3;17 - 24;Femenino;Soltero(a);Bachillerato;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);3;1
1185;Ciudad 2;3;17 - 24;Femenino;Soltero(a);Bachillerato;2.   Cristiano no católico;Con Hijos;1;Menos de  $ 500.000;2.   Trabaja independientemente (informal);1;0
1188;Ciudad 2;3;17 - 24;Femenino;Soltero(a);Pregrado;1.   Católico;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;4;1
1203;Ciudad 2;3;17 - 24;Femenino;Soltero(a);Bachillerato;1.   Católico;Con Hijos;1;No poseo ingresos propios;5.    Estudia;5;1
1207;Ciudad 2;3;17 - 24;Femenino;Casado(a);Bachillerato;1.   Católico;Con Hijos;1;Menos de  $ 500.000;1.   Trabaja dependientemente (empleado);3;0
1208;Ciudad 2;3;17 - 24;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;Menos de  $ 500.000;6.   Estudia y trabaja;4;1
1218;Ciudad 2;3;25 - 34;Femenino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;3;No poseo ingresos propios;9.   Se dedica al hogar;5;1
1219;Ciudad 2;3;25 - 34;Femenino;Casado(a);Técnico / Tecnológico;2.   Cristiano no católico;Con Hijos;2;Menos de  $ 500.000;3.   Empresario o Contratista;6;0
1226;Ciudad 2;3;25 - 34;Masculino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);5;0
1230;Ciudad 2;3;25 - 34;Masculino;Unión Libre;Pregrado;1.   Católico;Con Hijos;1;$ 1´001.000 -- $ 2,000.000;1.   Trabaja dependientemente (empleado);8;0
1238;Ciudad 2;3;35 - 44;Masculino;Casado(a);Bachillerato;1.   Católico;Con Hijos;2;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);4;0
1243;Ciudad 2;3;35 - 44;Masculino;Soltero(a);Técnico / Tecnológico;1.   Católico;Sin Hijos;0;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);4;0
1255;Ciudad 2;3;45 - 54;Femenino;Soltero(a);Bachillerato;1.   Católico;Con Hijos;1;$ 1´001.000 -- $ 2,000.000;1.   Trabaja dependientemente (empleado);3;1
1260;Ciudad 2;3;45 - 54;Femenino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;3;Menos de  $ 500.000;2.   Trabaja independientemente (informal);9;0
1269;Ciudad 2;3;45 - 54;Femenino;Viudo(a);Bachillerato;1.   Católico;Con Hijos;3;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);4;1
1275;Ciudad 2;3;45 - 54;Masculino;Casado(a);Técnico / Tecnológico;1.   Católico;Con Hijos;3;Menos de  $ 500.000;2.   Trabaja independientemente (informal);7;1
1284;Ciudad 2;3;55 - 60;Femenino;Viudo(a);Bachillerato;1.   Católico;Con Hijos;3;Menos de  $ 500.000;9.   Se dedica al hogar;9;0
1293;Ciudad 2;3;61 - 70;Femenino;Unión Libre;Técnico / Tecnológico;1.   Católico;Con Hijos;3;$ 1´001.000 -- $ 2,000.000;8.   Pensionado;2;0
1300;Ciudad 2;4;17 - 24;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;6;1
1305;Ciudad 2;4;25 - 34;Masculino;Soltero(a);Técnico / Tecnológico;2.   Cristiano no católico;Sin Hijos;0;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);7;1
1313;Ciudad 2;4;25 - 34;Masculino;Casado(a);Bachillerato;7.   Ninguna;Con Hijos;1;Menos de  $ 500.000;2.   Trabaja independientemente (informal);4;1
1327;Ciudad 2;2;13 - 16;Masculino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;13;0
1328;Ciudad 2;2;13 - 16;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;Menos de  $ 500.000;6.   Estudia y trabaja;6;0
1331;Ciudad 2;2;13 - 16;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;4;1
1349;Ciudad 2;2;17 - 24;Femenino;Soltero(a);Bachillerato;2.   Cristiano no católico;Sin Hijos;0;Menos de  $ 500.000;1.   Trabaja dependientemente (empleado);6;0
1356;Ciudad 2;2;17 - 24;Masculino;Soltero(a);Bachillerato;7.   Ninguna;Sin Hijos;0;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);13;0
1372;Ciudad 2;2;17 - 24;Femenino;Soltero(a);Técnico / Tecnológico;7.   Ninguna;Sin Hijos;0;Menos de  $ 500.000;6.   Estudia y trabaja;11;1
1374;Ciudad 2;2;17 - 24;Femenino;Soltero(a);Bachillerato;1.   Católico;Con Hijos;1;Menos de  $ 500.000;2.   Trabaja independientemente (informal);2;0
1384;Ciudad 2;2;17 - 24;Femenino;Unión Libre;Técnico / Tecnológico;6.   Otra:;Con Hijos;1;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);3;0
1386;Ciudad 2;2;17 - 24;Masculino;Soltero(a);Técnico / Tecnológico;1.   Católico;Sin Hijos;0;Menos de  $ 500.000;1.   Trabaja dependientemente (empleado);8;0
1388;Ciudad 2;2;17 - 24;Masculino;Soltero(a);Bachillerato;2.   Cristiano no católico;Sin Hijos;0;Menos de  $ 500.000;1.   Trabaja dependientemente (empleado);8;0
1389;Ciudad 2;2;17 - 24;Masculino;Soltero(a);Técnico / Tecnológico;1.   Católico;Sin Hijos;0;Menos de  $ 500.000;1.   Trabaja dependientemente (empleado);4;1
1402;Ciudad 2;2;17 - 24;Masculino;Soltero(a);Pregrado;2.   Cristiano no católico;Sin Hijos;0;Menos de  $ 500.000;1.   Trabaja dependientemente (empleado);4;1
1406;Ciudad 2;2;17 - 24;Masculino;Unión Libre;Técnico / Tecnológico;7.   Ninguna;Con Hijos;1;Menos de  $ 500.000;2.   Trabaja independientemente (informal);15;0
1412;Ciudad 2;2;25 - 34;Femenino;Soltero(a);Bachillerato;7.   Ninguna;Con Hijos;3;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);7;0
1413;Ciudad 2;2;25 - 34;Femenino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;3;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);4;0
1418;Ciudad 2;2;25 - 34;Masculino;Soltero(a);Pregrado;7.   Ninguna;Sin Hijos;0;$ 501.000 -- $ 1´000.000;6.   Estudia y trabaja;3;1
1423;Ciudad 2;2;25 - 34;Femenino;Unión Libre;Bachillerato;7.   Ninguna;Con Hijos;3;No poseo ingresos propios;9.   Se dedica al hogar;4;0
1433;Ciudad 2;2;25 - 34;Femenino;Unión Libre;Técnico / Tecnológico;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);3;0
1437;Ciudad 2;2;25 - 34;Masculino;Unión Libre;Primaria;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);6;0
1442;Ciudad 2;2;25 - 34;Masculino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);5;0
1443;Ciudad 2;2;35 - 44;Masculino;Casado(a);Primaria;1.   Católico;Con Hijos;4;$ 1´001.000 -- $ 2,000.000;2.   Trabaja independientemente (informal);7;0
1446;Ciudad 2;2;35 - 44;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;Menos de  $ 500.000;1.   Trabaja dependientemente (empleado);5;0
1461;Ciudad 2;2;35 - 44;Masculino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;2;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);4;0
1465;Ciudad 2;2;45 - 54;Femenino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;6;Menos de  $ 500.000;2.   Trabaja independientemente (informal);10;0
1469;Ciudad 2;2;45 - 54;Masculino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;4;No poseo ingresos propios;2.   Trabaja independientemente (informal);7;1
1476;Ciudad 2;2;45 - 54;Femenino;Casado(a);Primaria;1.   Católico;Con Hijos;3;Menos de  $ 500.000;2.   Trabaja independientemente (informal);5;0
1484;Ciudad 2;2;55 - 60;Femenino;Unión Libre;Primaria;1.   Católico;Con Hijos;3;$ 1´001.000 -- $ 2,000.000;2.   Trabaja independientemente (informal);4;0
1503;Ciudad 2;3;25 - 34;Masculino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;7.   Busca empleo;3;0
1504;Ciudad 2;3;25 - 34;Masculino;Casado(a);Bachillerato;1.   Católico;Con Hijos;2;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);4;1
1507;Ciudad 2;3;35 - 44;Masculino;Casado(a);Posgrado;1.   Católico;Con Hijos;3;Mas de $ 3,001.000;1.   Trabaja dependientemente (empleado);5;0
1513;Ciudad 2;3;55 - 60;Femenino;Casado(a);Bachillerato;1.   Católico;Con Hijos;2;Menos de  $ 500.000;2.   Trabaja independientemente (informal);8;0
1519;Ciudad 2;4;17 - 24;Masculino;Soltero(a);Pregrado;1.   Católico;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;4;0
1521;Ciudad 2;4;25 - 34;Femenino;Casado(a);Técnico / Tecnológico;6.   Otra:;Con Hijos;1;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);5;0
1523;Ciudad 2;4;25 - 34;Femenino;Soltero(a);Pregrado;1.   Católico;Con Hijos;1;No poseo ingresos propios;5.    Estudia;4;1
1524;Ciudad 2;4;25 - 34;Femenino;Unión Libre;Técnico / Tecnológico;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);3;0
1527;Ciudad 2;4;35 - 44;Masculino;Casado(a);Posgrado;1.   Católico;Con Hijos;2;Mas de $ 3,001.000;2.   Trabaja independientemente (informal);4;1
1549;Ciudad 2;5;55 - 60;Femenino;Unión Libre;Técnico / Tecnológico;1.   Católico;Con Hijos;1;$ 2,001.000 -- $ 3,000.000;3.   Empresario o Contratista;3;1
1561;Ciudad 2;2;17 - 24;Masculino;Soltero(a);Técnico / Tecnológico;1.   Católico;Sin Hijos;0;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);6;0
1564;Ciudad 2;2;17 - 24;Femenino;Unión Libre;Técnico / Tecnológico;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;6.   Estudia y trabaja;6;1
1565;Ciudad 2;2;17 - 24;Femenino;Soltero(a);Pregrado;2.   Cristiano no católico;Sin Hijos;0;Menos de  $ 500.000;7.   Busca empleo;4;0
1588;Ciudad 2;2;25 - 34;Masculino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);3;0
1592;Ciudad 2;2;25 - 34;Femenino;Unión Libre;Técnico / Tecnológico;2.   Cristiano no católico;Con Hijos;3;$ 501.000 -- $ 1´000.000;9.   Se dedica al hogar;3;0
1593;Ciudad 2;2;25 - 34;Femenino;Separado(a);Bachillerato;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);14;0
1599;Ciudad 2;2;35 - 44;Femenino;Casado(a);Técnico / Tecnológico;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);3;0
1614;Ciudad 2;2;45 - 54;Femenino;Separado(a);Bachillerato;1.   Católico;Con Hijos;4;Menos de  $ 500.000;2.   Trabaja independientemente (informal);4;0
1627;Ciudad 2;3;13 - 16;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;No poseo ingresos propios;6.   Estudia y trabaja;4;0
1636;Ciudad 2;3;17 - 24;Masculino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;Menos de  $ 500.000;6.   Estudia y trabaja;6;0
1638;Ciudad 2;3;17 - 24;Femenino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;2;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);17;0
1646;Ciudad 2;3;25 - 34;Masculino;Casado(a);Pregrado;1.   Católico;Con Hijos;3;$ 1´001.000 -- $ 2,000.000;2.   Trabaja independientemente (informal);5;0
1649;Ciudad 2;3;25 - 34;Masculino;Soltero(a);Técnico / Tecnológico;1.   Católico;Sin Hijos;0;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);4;0
1668;Ciudad 2;3;45 - 54;Femenino;Soltero(a);Posgrado;1.   Católico;Sin Hijos;0;Mas de $ 3,001.000;1.   Trabaja dependientemente (empleado);2;0
1675;Ciudad 2;4;25 - 34;Masculino;Unión Libre;Técnico / Tecnológico;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);3;1
1677;Ciudad 2;1;17 - 24;Femenino;Soltero(a);Bachillerato;7.   Ninguna;Sin Hijos;0;Menos de  $ 500.000;6.   Estudia y trabaja;6;1
1683;Ciudad 2;2;17 - 24;Masculino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;Menos de  $ 500.000;5.    Estudia;6;0
1685;Ciudad 2;2;17 - 24;Masculino;Soltero(a);Técnico / Tecnológico;2.   Cristiano no católico;Sin Hijos;0;Menos de  $ 500.000;6.   Estudia y trabaja;5;0
1690;Ciudad 2;3;13 - 16;Masculino;Soltero(a);Bachillerato;2.   Cristiano no católico;Sin Hijos;0;Menos de  $ 500.000;6.   Estudia y trabaja;5;1
1691;Ciudad 2;3;13 - 16;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;No poseo ingresos propios;6.   Estudia y trabaja;6;0
1695;Ciudad 2;3;17 - 24;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;4;1
1700;Ciudad 2;3;35 - 44;Masculino;Unión Libre;Técnico / Tecnológico;1.   Católico;Con Hijos;2;$ 1´001.000 -- $ 2,000.000;1.   Trabaja dependientemente (empleado);4;0
1702;Ciudad 2;4;17 - 24;Masculino;Unión Libre;Bachillerato;1.   Católico;Sin Hijos;0;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);4;1
1707;Ciudad 2;4;25 - 34;Femenino;Unión Libre;Técnico / Tecnológico;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);3;0
1709;Ciudad 2;4;25 - 34;Femenino;Casado(a);Pregrado;2.   Cristiano no católico;Con Hijos;1;Menos de  $ 500.000;2.   Trabaja independientemente (informal);4;1
1728;Ciudad 2;5;17 - 24;Femenino;Soltero(a);Técnico / Tecnológico;7.   Ninguna;Con Hijos;1;$ 1´001.000 -- $ 2,000.000;2.   Trabaja independientemente (informal);1;1
1741;Ciudad 2;3;35 - 44;Femenino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;2;Menos de  $ 500.000;1.   Trabaja dependientemente (empleado);5;1
1742;Ciudad 2;3;55 - 60;Femenino;Soltero(a);Primaria;1.   Católico;Con Hijos;4;Menos de  $ 500.000;2.   Trabaja independientemente (informal);5;0
1748;Ciudad 2;6;25 - 34;Femenino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);4;0
1756;Ciudad 2;2;25 - 34;Masculino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;2;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);4;0
1772;Ciudad 2;3;17 - 24;Masculino;Soltero(a);Bachillerato;7.   Ninguna;Sin Hijos;0;$ 1´001.000 -- $ 2,000.000;6.   Estudia y trabaja;4;0
1777;Ciudad 2;3;17 - 24;Femenino;Unión Libre;Técnico / Tecnológico;1.   Católico;Con Hijos;2;No poseo ingresos propios;9.   Se dedica al hogar;4;0
1789;Ciudad 2;2;13 - 16;Femenino;Soltero(a);Bachillerato;2.   Cristiano no católico;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;6;0
1791;Ciudad 2;2;13 - 16;Masculino;Soltero(a);Bachillerato;7.   Ninguna;Sin Hijos;0;Menos de  $ 500.000;6.   Estudia y trabaja;4;0
1801;Ciudad 2;2;17 - 24;Masculino;Unión Libre;Bachillerato;7.   Ninguna;Con Hijos;1;Menos de  $ 500.000;2.   Trabaja independientemente (informal);6;0
1810;Ciudad 2;3;17 - 24;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);3;0
1811;Ciudad 2;3;25 - 34;Femenino;Unión Libre;Técnico / Tecnológico;1.   Católico;Con Hijos;2;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);6;1
1812;Ciudad 2;1;13 - 16;Masculino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;Menos de  $ 500.000;6.   Estudia y trabaja;5;0
1814;Ciudad 2;2;13 - 16;Femenino;Soltero(a);Técnico / Tecnológico;7.   Ninguna;Sin Hijos;0;Menos de  $ 500.000;6.   Estudia y trabaja;5;0
1817;Ciudad 2;2;17 - 24;Femenino;Unión Libre;Técnico / Tecnológico;1.   Católico;Sin Hijos;0;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);4;0
1827;Ciudad 2;2;35 - 44;Femenino;Soltero(a);Técnico / Tecnológico;1.   Católico;Sin Hijos;0;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);12;0
1828;Ciudad 2;2;35 - 44;Masculino;Soltero(a);Posgrado;1.   Católico;Con Hijos;1;$ 1´001.000 -- $ 2,000.000;2.   Trabaja independientemente (informal);10;0
1830;Ciudad 2;2;45 - 54;Femenino;Viudo(a);Técnico / Tecnológico;1.   Católico;Con Hijos;2;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);10;0
1833;Ciudad 2;3;17 - 24;Femenino;Unión Libre;Bachillerato;2.   Cristiano no católico;Con Hijos;1;No poseo ingresos propios;9.   Se dedica al hogar;7;1
1837;Ciudad 2;3;17 - 24;Femenino;Casado(a);Bachillerato;1.   Católico;Con Hijos;2;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);1;1
1839;Ciudad 2;3;17 - 24;Femenino;Soltero(a);Pregrado;1.   Católico;Sin Hijos;0;Menos de  $ 500.000;1.   Trabaja dependientemente (empleado);3;0
1842;Ciudad 2;3;17 - 24;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;5;0
1851;Ciudad 2;3;25 - 34;Masculino;Soltero(a);Pregrado;1.   Católico;Con Hijos;2;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);3;0
1863;Ciudad 2;4;13 - 16;Femenino;Soltero(a);Bachillerato;7.   Ninguna;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;3;0
1869;Ciudad 2;4;45 - 54;Masculino;Casado(a);Bachillerato;1.   Católico;Con Hijos;3;$ 2,001.000 -- $ 3,000.000;3.   Empresario o Contratista;5;0
1881;Ciudad 2;3;17 - 24;Masculino;Soltero(a);Pregrado;7.   Ninguna;Sin Hijos;0;No poseo ingresos propios;6.   Estudia y trabaja;8;1
1884;Ciudad 2;3;17 - 24;Femenino;Soltero(a);Técnico / Tecnológico;1.   Católico;Con Hijos;1;No poseo ingresos propios;5.    Estudia;5;0
1898;Ciudad 2;3;17 - 24;Femenino;Unión Libre;Bachillerato;2.   Cristiano no católico;Con Hijos;1;Menos de  $ 500.000;1.   Trabaja dependientemente (empleado);4;0
1901;Ciudad 2;3;25 - 34;Masculino;Unión Libre;Pregrado;2.   Cristiano no católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);3;1
1907;Ciudad 2;3;25 - 34;Femenino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;1;Menos de  $ 500.000;3.   Empresario o Contratista;3;1
1915;Ciudad 2;3;25 - 34;Femenino;Viudo(a);Bachillerato;2.   Cristiano no católico;Con Hijos;1;Menos de  $ 500.000;3.   Empresario o Contratista;5;0
1917;Ciudad 2;3;25 - 34;Femenino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;2;Menos de  $ 500.000;2.   Trabaja independientemente (informal);4;0
1919;Ciudad 2;3;25 - 34;Femenino;Soltero(a);Técnico / Tecnológico;1.   Católico;Con Hijos;1;Menos de  $ 500.000;1.   Trabaja dependientemente (empleado);5;0
1931;Ciudad 2;3;35 - 44;Femenino;Separado(a);Bachillerato;1.   Católico;Con Hijos;4;Menos de  $ 500.000;2.   Trabaja independientemente (informal);5;0
1934;Ciudad 2;3;35 - 44;Femenino;Unión Libre;Técnico / Tecnológico;2.   Cristiano no católico;Con Hijos;1;Menos de  $ 500.000;2.   Trabaja independientemente (informal);7;1
1938;Ciudad 2;3;35 - 44;Femenino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;2;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);6;0
1942;Ciudad 2;3;35 - 44;Masculino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;2;Menos de  $ 500.000;1.   Trabaja dependientemente (empleado);4;0
1949;Ciudad 2;3;45 - 54;Masculino;Casado(a);Técnico / Tecnológico;1.   Católico;Con Hijos;1;$ 1´001.000 -- $ 2,000.000;1.   Trabaja dependientemente (empleado);3;0
1953;Ciudad 2;3;45 - 54;Femenino;Casado(a);Bachillerato;1.   Católico;Con Hijos;2;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);4;0
1977;Ciudad 2;4;25 - 34;Femenino;Casado(a);Técnico / Tecnológico;1.   Católico;Sin Hijos;0;No poseo ingresos propios;7.   Busca empleo;6;0
2007;Ciudad 2;5;45 - 54;Masculino;Casado(a);Posgrado;1.   Católico;Con Hijos;1;Mas de $ 3,001.000;1.   Trabaja dependientemente (empleado);3;1
2013;Ciudad 2;3;17 - 24;Femenino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);5;0
2042;Ciudad 2;5;25 - 34;Masculino;Soltero(a);Posgrado;7.   Ninguna;Sin Hijos;0;Mas de $ 3,001.000;1.   Trabaja dependientemente (empleado);4;1
2043;Ciudad 2;5;25 - 34;Femenino;Unión Libre;Pregrado;1.   Católico;Con Hijos;1;$ 1´001.000 -- $ 2,000.000;1.   Trabaja dependientemente (empleado);4;0
2044;Ciudad 2;5;25 - 34;Masculino;Unión Libre;Pregrado;1.   Católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;5.    Estudia;4;0
2055;Ciudad 2;3;25 - 34;Masculino;Soltero(a);Bachillerato;2.   Cristiano no católico;Con Hijos;3;$ 501.000 -- $ 1´000.000;1.   Trabaja dependientemente (empleado);5;0
2076;Ciudad 2;1;13 - 16;Masculino;Soltero(a);Primaria;1.   Católico;Sin Hijos;0;Menos de  $ 500.000;6.   Estudia y trabaja;3;0
2086;Ciudad 2;2;17 - 24;Masculino;Soltero(a);Bachillerato;2.   Cristiano no católico;Sin Hijos;0;Menos de  $ 500.000;6.   Estudia y trabaja;5;0
2106;Ciudad 2;3;17 - 24;Femenino;Soltero(a);Bachillerato;7.   Ninguna;Con Hijos;2;Menos de  $ 500.000;1.   Trabaja dependientemente (empleado);2;1
2109;Ciudad 2;3;17 - 24;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;Menos de  $ 500.000;1.   Trabaja dependientemente (empleado);7;1
2122;Ciudad 2;3;25 - 34;Femenino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;1;$ 1´001.000 -- $ 2,000.000;1.   Trabaja dependientemente (empleado);3;0
2132;Ciudad 2;3;35 - 44;Masculino;Separado(a);Bachillerato;1.   Católico;Con Hijos;3;Menos de  $ 500.000;1.   Trabaja dependientemente (empleado);8;0
2143;Ciudad 2;1;13 - 16;Femenino;Soltero(a);Bachillerato;7.   Ninguna;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;4;0
2152;Ciudad 2;2;45 - 54;Femenino;Separado(a);Bachillerato;1.   Católico;Con Hijos;2;No poseo ingresos propios;9.   Se dedica al hogar;6;0
2164;Ciudad 2;1;45 - 54;Femenino;Casado(a);Primaria;1.   Católico;Con Hijos;2;Menos de  $ 500.000;2.   Trabaja independientemente (informal);5;1
2179;Ciudad 2;5;25 - 34;Masculino;Separado(a);Pregrado;2.   Cristiano no católico;Con Hijos;1;$ 1´001.000 -- $ 2,000.000;1.   Trabaja dependientemente (empleado);2;0
2186;Ciudad 2;2;13 - 16;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;4;0
2195;Ciudad 2;3;17 - 24;Masculino;Unión Libre;Bachillerato;1.   Católico;Con Hijos;1;$ 1´001.000 -- $ 2,000.000;2.   Trabaja independientemente (informal);5;1
2201;Ciudad 2;4;61 - 70;Masculino;Casado(a);Posgrado;4.   Budista;Con Hijos;1;Mas de $ 3,001.000;8.   Pensionado;1;0
2203;Ciudad 2;1;13 - 16;Masculino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;No poseo ingresos propios;6.   Estudia y trabaja;5;0
2204;Ciudad 2;1;13 - 16;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;5;1
2205;Ciudad 2;1;13 - 16;Femenino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;No poseo ingresos propios;5.    Estudia;5;0
2213;Ciudad 2;2;13 - 16;Masculino;Soltero(a);Bachillerato;3.   Judío;Con Hijos;1;No poseo ingresos propios;5.    Estudia;6;0
2278;Ciudad 2;3;25 - 34;Femenino;Soltero(a);Bachillerato;2.   Cristiano no católico;Con Hijos;1;$ 501.000 -- $ 1´000.000;2.   Trabaja independientemente (informal);10;1
2284;Ciudad 2;3;13 - 16;Masculino;Soltero(a);Bachillerato;1.   Católico;Sin Hijos;0;Menos de  $ 500.000;5.    Estudia;6;0
2287;Ciudad 2;3;25 - 34;Masculino;Casado(a);Bachillerato;7.   Ninguna;Con Hijos;2;Menos de  $ 500.000;2.   Trabaja independientemente (informal);4;0
